3.11 0.36 3.11 0.36 0.1957 195.46 3.66 11.93 7.05 3.19 0.25 -4.66 7.62 0.16
3.11 0.36 3.11 0.36 0.2657 217.29 4.22 13.26 -5.97 3.81 0.21 -67.45 9.03 2.36
3.11 0.36 3.11 0.36 0.3457 195.76 4.15 11.95 -11.55 4.01 0.40 -67.67 8.97 2.37
3.11 0.36 3.11 0.36 0.4557 183.18 4.54 11.18 -28.08 4.63 0.98 -87.12 10.23 3.05
3.57 0.36 3.57 0.36 0.1972 115.04 2.53 4.64 -2.37 2.18 0.08 -16.48 5.25 0.58
3.57 0.36 3.57 0.36 0.2672 117.51 2.77 4.74 -9.70 2.54 0.34 -46.96 5.85 1.64
3.57 0.36 3.57 0.36 0.3372 119.61 3.35 4.82 -5.32 3.52 0.19 -35.39 6.99 1.24
3.57 0.36 3.57 0.36 0.4472 105.37 4.06 4.25 -15.08 4.61 0.53 -56.36 8.24 1.97
4.44 0.36 4.44 0.36 0.1992 57.04 1.88 2.08 -1.84 1.44 0.06 -2.42 3.43 0.08
4.44 0.36 4.44 0.36 0.2592 62.86 2.16 2.29 -0.23 1.83 0.01 -13.17 4.03 0.46
4.44 0.36 4.44 0.36 0.3392 64.53 2.47 2.35 0.62 2.35 0.02 -13.49 4.66 0.47
4.44 0.36 4.44 0.36 0.4492 51.63 2.56 1.88 -5.66 2.61 0.20 -28.80 4.76 1.01
2.67 0.48 2.67 0.48 0.3376 525.95 14.48 41.16 25.07 16.53 0.88 -29.14 43.88 1.02
2.67 0.48 2.67 0.48 0.3676 520.40 16.36 40.73 -38.25 19.21 1.34 -7.88 45.79 0.28
2.67 0.48 2.67 0.48 0.4076 488.33 17.33 38.22 -31.60 21.71 1.11 -55.44 47.02 1.94
2.67 0.48 2.67 0.48 0.4676 480.77 23.45 37.63 -60.20 30.66 2.11 -116.12 57.67 4.06
4.06 0.48 4.06 0.48 0.3658 126.23 3.84 6.71 -3.93 3.36 0.14 -17.69 7.80 0.62
4.06 0.48 4.06 0.48 0.4158 128.70 4.65 6.84 -9.18 4.45 0.32 -13.90 8.66 0.49
4.06 0.48 4.06 0.48 0.4658 115.22 6.01 6.12 -16.42 6.24 0.57 -23.10 10.78 0.81
4.06 0.48 4.06 0.48 0.5358 111.89 8.46 5.95 -18.01 8.97 0.63 -40.59 13.09 1.42
5.16 0.48 5.16 0.48 0.3841 70.45 2.53 2.47 0.04 2.23 0.00 -4.31 5.55 0.15
5.16 0.48 5.16 0.48 0.4341 72.98 2.78 2.55 1.96 2.64 0.07 -13.84 5.89 0.46
5.16 0.48 5.16 0.48 0.4941 65.77 3.17 2.30 -1.82 3.51 0.06 -19.81 6.74 0.69
5.16 0.48 5.16 0.48 0.6041 58.49 3.74 2.05 -4.52 4.40 0.16 -22.46 7.55 0.79
6.56 0.48 6.56 0.48 0.3811 33.48 1.60 1.54 -0.79 1.73 0.03 6.43 4.08 0.23
6.56 0.48 6.56 0.48 0.4311 38.21 2.06 1.76 -0.39 2.39 0.01 2.15 5.14 0.08
6.56 0.48 6.56 0.48 0.4811 31.61 2.35 1.46 -4.97 2.95 0.17 -4.24 5.56 0.15
6.56 0.48 6.56 0.48 0.5411 43.74 4.23 2.02 11.91 5.51 0.42 -4.12 8.54 0.14
5.49 0.60 5.49 0.60 0.7291 92.48 1.42 4.26 -2.18 0.70 0.44 -3.29 1.67 0.12
5.49 0.60 5.49 0.60 0.8491 86.89 1.39 4.01 -5.12 0.75 1.04 -4.28 1.66 0.15
5.49 0.60 5.49 0.60 1.0091 78.96 1.38 3.64 -6.44 0.86 1.31 -17.84 1.74 0.62
5.49 0.60 5.49 0.60 1.2791 63.43 1.37 2.92 -4.87 1.03 0.99 -13.65 1.82 0.48
8.31 0.60 8.31 0.60 0.7555 27.29 0.90 1.10 -0.36 0.48 0.01 -1.72 1.25 0.06
8.31 0.60 8.31 0.60 0.8555 24.72 0.86 1.00 -0.75 0.48 0.03 -2.50 1.18 0.09
8.31 0.60 8.31 0.60 0.9855 21.43 0.81 0.86 -2.43 0.49 0.09 -4.71 1.13 0.16
8.31 0.60 8.31 0.60 1.2055 18.48 0.79 0.74 -1.20 0.58 0.04 -4.33 1.18 0.15
